时间,今值,预测值
2000年8月1日 (七月)17:00,199.00K, 
2000年7月1日 (六月)17:00,213.00K, 
2000年6月1日 (五月)17:00,-119.00K, 
2000年5月1日 (四月)17:00,218.00K, 
2000年4月1日 (三月)17:00,333.00K, 
2000年3月1日 (二月)17:00,102.00K, 
2000年2月1日 (一月)17:00,200.00K, 
2000年1月1日 (十二月)17:00,251.00K, 
1999年12月1日 (十一月)17:00,253.00K, 
1999年11月1日 (十月)17:00,347.00K, 
1999年10月1日 (九月)17:00,185.00K, 
1999年9月1日 (八月)17:00,130.00K, 
1999年8月1日 (七月)17:00,252.00K, 
1999年7月1日 (六月)17:00,218.00K, 
1999年6月1日 (五月)17:00,219.00K, 
1999年5月1日 (四月)17:00,307.00K, 
1999年4月1日 (三月)17:00,83.00K, 
1999年3月1日 (二月)17:00,351.00K, 
1999年2月1日 (一月)17:00,120.00K, 
1999年1月1日 (十二月)17:00,312.00K, 
1998年12月1日 (十一月)17:00,239.00K, 
1998年11月1日 (十月)17:00,182.00K, 
1998年10月1日 (九月)17:00,197.00K, 
1998年9月1日 (八月)17:00,318.00K, 
1998年8月1日 (七月)17:00,73.00K, 
1998年7月1日 (六月)17:00,214.00K, 
1998年6月1日 (五月)17:00,347.00K, 
1998年5月1日 (四月)17:00,255.00K, 
1998年4月1日 (三月)17:00,145.00K, 
1998年3月1日 (二月)17:00,180.00K, 
1998年2月1日 (一月)17:00,272.00K, 
1998年1月1日 (十二月)17:00,298.00K, 
1997年12月1日 (十一月)17:00,283.00K, 
1997年11月1日 (十月)17:00,282.00K, 
1997年10月1日 (九月)17:00,450.00K, 
1997年9月1日 (八月)17:00,30.00K, 
1997年8月1日 (七月)17:00,287.00K, 
1997年7月1日 (六月)17:00,208.00K, 
1997年6月1日 (五月)17:00,261.00K, 
1997年5月1日 (四月)17:00,297.00K, 
1997年4月1日 (三月)17:00,306.00K, 
1997年3月1日 (二月)17:00,298.00K, 
1997年2月1日 (一月)17:00,213.00K, 
1997年1月1日 (十二月)17:00,165.00K, 
1996年12月1日 (十一月)17:00,287.00K, 
1996年11月1日 (十月)17:00,263.00K, 
1996年10月1日 (九月)17:00,162.00K, 
1996年9月1日 (八月)17:00,215.00K, 
1996年8月1日 (七月)17:00,237.00K, 
1996年7月1日 (六月)17:00,289.00K, 
1996年6月1日 (五月)17:00,307.00K, 
1996年5月1日 (四月)17:00,181.00K, 
1996年4月1日 (三月)17:00,220.00K, 
1996年3月1日 (二月)17:00,396.00K, 
1996年2月1日 (一月)17:00,-3.00K, 
1996年1月1日 (十二月)17:00,130.00K, 
1995年12月1日 (十一月)17:00,150.00K, 
1995年11月1日 (十月)17:00,120.00K, 
1995年10月1日 (九月)17:00,241.00K, 
1995年9月1日 (八月)17:00,256.00K, 
1995年8月1日 (七月)17:00,110.00K, 
1995年7月1日 (六月)17:00,208.00K, 
1995年6月1日 (五月)17:00,0.00K, 
1995年5月1日 (四月)17:00,155.00K, 
1995年4月1日 (三月)17:00,202.00K, 
1995年3月1日 (二月)17:00,193.00K, 
1995年2月1日 (一月)17:00,317.00K, 
1995年1月1日 (十二月)17:00,254.00K, 
1994年12月1日 (十一月)17:00,397.00K, 
1994年11月1日 (十月)17:00,206.00K, 
1994年10月1日 (九月)17:00,321.00K, 
1994年9月1日 (八月)17:00,272.00K, 
1994年8月1日 (七月)17:00,351.00K, 
1994年7月1日 (六月)17:00,306.00K, 
1994年6月1日 (五月)17:00,293.00K, 
1994年5月1日 (四月)17:00,316.00K, 
1994年4月1日 (三月)17:00,425.00K, 
1994年3月1日 (二月)17:00,197.00K, 
1994年2月1日 (一月)17:00,234.00K, 
1994年1月1日 (十二月)17:00,271.00K, 
1993年12月1日 (十一月)17:00,236.00K, 
1993年11月1日 (十月)17:00,285.00K, 
1993年10月1日 (九月)17:00,226.00K, 
1993年9月1日 (八月)17:00,192.00K, 
1993年8月1日 (七月)17:00,207.00K, 
1993年7月1日 (六月)17:00,163.00K, 
1993年6月1日 (五月)17:00,254.00K, 
1993年5月1日 (四月)17:00,277.00K, 
1993年4月1日 (三月)17:00,-54.00K, 
1993年3月1日 (二月)17:00,241.00K, 
1993年2月1日 (一月)17:00,287.00K, 
1993年1月1日 (十二月)17:00,174.00K, 
1992年12月1日 (十一月)17:00,125.00K, 
1992年11月1日 (十月)17:00,181.00K, 
1992年10月1日 (九月)17:00,90.00K, 
1992年9月1日 (八月)17:00,75.00K, 
1992年8月1日 (七月)17:00,13.00K, 
1992年7月1日 (六月)17:00,58.00K, 
1992年6月1日 (五月)17:00,113.00K, 
1992年5月1日 (四月)17:00,135.00K, 
1992年4月1日 (三月)17:00,28.00K, 
1992年3月1日 (二月)17:00,-64.00K, 
1992年2月1日 (一月)17:00,6.00K, 
1992年1月1日 (十二月)17:00,11.00K, 
1991年12月1日 (十一月)17:00,-91.00K, 
1991年11月1日 (十月)17:00,-34.00K, 
1991年10月1日 (九月)17:00,56.00K, 
1991年9月1日 (八月)17:00,37.00K, 
1991年8月1日 (七月)17:00,-73.00K, 
1991年7月1日 (六月)17:00,34.00K, 
1991年6月1日 (五月)17:00,-138.00K, 
1991年5月1日 (四月)17:00,-208.00K, 
1991年4月1日 (三月)17:00,-164.00K, 
1991年3月1日 (二月)17:00,-313.00K, 
1991年2月1日 (一月)17:00,-126.00K, 
1991年1月1日 (十二月)17:00,-74.00K, 
1990年12月1日 (十一月)17:00,-157.00K, 
1990年11月1日 (十月)17:00,-165.00K, 
1990年10月1日 (九月)17:00,-68.00K, 
1990年9月1日 (八月)17:00,-118.00K, 
1990年8月1日 (七月)17:00,-32.00K, 
1990年7月1日 (六月)17:00,66.00K, 
1990年6月1日 (五月)17:00,-70.00K, 
1990年5月1日 (四月)17:00,-43.00K, 
1990年4月1日 (三月)17:00,98.00K, 
1990年3月1日 (二月)17:00,222.00K, 
1990年2月1日 (一月)17:00,259.00K, 
1990年1月1日 (十二月)17:00,78.00K, 
1989年12月1日 (十一月)17:00,253.00K, 
1989年11月1日 (十月)17:00,105.00K, 
1989年10月1日 (九月)17:00,212.00K, 
1989年9月1日 (八月)17:00,-35.00K, 
1989年8月1日 (七月)17:00,47.00K, 
1989年7月1日 (六月)17:00,80.00K, 
1989年6月1日 (五月)17:00,82.00K, 
1989年5月1日 (四月)17:00,155.00K, 
1989年4月1日 (三月)17:00,183.00K, 
1989年3月1日 (二月)17:00,220.00K, 
1989年2月1日 (一月)17:00,224.00K, 
1989年1月1日 (十二月)17:00,300.00K, 
1988年12月1日 (十一月)17:00,263.00K, 
1988年11月1日 (十月)17:00,232.00K, 
1988年10月1日 (九月)17:00,249.00K, 
1988年9月1日 (八月)17:00,74.00K, 
1988年8月1日 (七月)17:00,243.00K, 
1988年7月1日 (六月)17:00,329.00K, 
1988年6月1日 (五月)17:00,200.00K, 
1988年5月1日 (四月)17:00,240.00K, 
1988年4月1日 (三月)17:00,218.00K, 
1988年3月1日 (二月)17:00,429.00K, 
1988年2月1日 (一月)17:00,76.00K, 
1988年1月1日 (十二月)17:00,246.00K, 
1987年12月1日 (十一月)17:00,202.00K, 
1987年11月1日 (十月)17:00,358.00K, 
1987年10月1日 (九月)17:00,265.00K, 
1987年9月1日 (八月)17:00,159.00K, 
1987年8月1日 (七月)17:00,311.00K, 
1987年7月1日 (六月)17:00,160.00K, 
1987年6月1日 (五月)17:00,223.00K, 
1987年5月1日 (四月)17:00,293.00K, 
1987年4月1日 (三月)17:00,221.00K, 
1987年3月1日 (二月)17:00,241.00K, 
1987年2月1日 (一月)17:00,148.00K, 
1987年1月1日 (十二月)17:00,189.00K, 
1986年12月1日 (十一月)17:00,150.00K, 
1986年11月1日 (十月)17:00,127.00K, 
1986年10月1日 (九月)17:00,237.00K, 
1986年9月1日 (八月)17:00,93.00K, 
1986年8月1日 (七月)17:00,318.00K, 
1986年7月1日 (六月)17:00,-83.00K, 
1986年6月1日 (五月)17:00,102.00K, 
1986年5月1日 (四月)17:00,177.00K, 
1986年4月1日 (三月)17:00,98.00K, 
1986年3月1日 (二月)17:00,63.00K, 
1986年2月1日 (一月)17:00,104.00K, 
1986年1月1日 (十二月)17:00,147.00K, 
1985年12月1日 (十一月)17:00,189.00K, 
1985年11月1日 (十月)17:00,172.00K, 
1985年10月1日 (九月)17:00,184.00K, 
1985年9月1日 (八月)17:00,194.00K, 
1985年8月1日 (七月)17:00,68.00K, 
1985年7月1日 (六月)17:00,122.00K, 
1985年6月1日 (五月)17:00,230.00K, 
1985年5月1日 (四月)17:00,161.00K, 
1985年4月1日 (三月)17:00,300.00K, 
1985年3月1日 (二月)17:00,111.00K, 
1985年2月1日 (一月)17:00,212.00K, 
1985年1月1日 (十二月)17:00,157.00K, 
1984年12月1日 (十一月)17:00,312.00K, 
1984年11月1日 (十月)17:00,267.00K, 
1984年10月1日 (九月)17:00,279.00K, 
1984年9月1日 (八月)17:00,190.00K, 
1984年8月1日 (七月)17:00,268.00K, 
1984年7月1日 (六月)17:00,355.00K, 
1984年6月1日 (五月)17:00,280.00K, 
1984年5月1日 (四月)17:00,318.00K, 
1984年4月1日 (三月)17:00,270.00K, 
1984年3月1日 (二月)17:00,466.00K, 
1984年2月1日 (一月)17:00,444.00K, 
1984年1月1日 (十二月)17:00,345.00K, 
1983年12月1日 (十一月)17:00,342.00K, 
1983年11月1日 (十月)17:00,327.00K, 
1983年10月1日 (九月)17:00,"1,089.00K", 
1983年9月1日 (八月)17:00,-313.00K, 
1983年8月1日 (七月)17:00,427.00K, 
1983年7月1日 (六月)17:00,364.00K, 
1983年6月1日 (五月)17:00,262.00K, 
1983年5月1日 (四月)17:00,291.00K, 
1983年4月1日 (三月)17:00,171.00K, 
1983年3月1日 (二月)17:00,-56.00K, 
