时间,今值,预测值
1996年12月1日 (十一月)17:00,-6.70K, 
1996年11月1日 (十月)17:00,14.00K, 
1996年10月1日 (九月)17:00,-11.30K, 
1996年9月1日 (八月)17:00,-2.40K, 
1996年8月1日 (七月)17:00,2.80K, 
1996年7月1日 (六月)17:00,-0.50K, 
1996年6月1日 (五月)17:00,9.70K, 
1996年5月1日 (四月)17:00,27.60K, 
1996年4月1日 (三月)17:00,-28.00K, 
1996年3月1日 (二月)17:00,12.10K, 
1996年2月1日 (一月)17:00,-7.00K, 
1996年1月1日 (十二月)17:00,-0.20K, 
1995年12月1日 (十一月)17:00,70.80K, 
1995年11月1日 (十月)17:00,-2.30K, 
1995年10月1日 (九月)17:00,-16.60K, 
1995年9月1日 (八月)17:00,30.30K, 
1995年8月1日 (七月)17:00,8.60K, 
1995年7月1日 (六月)17:00,32.00K, 
1995年6月1日 (五月)17:00,5.90K, 
1995年5月1日 (四月)17:00,61.80K, 
1995年4月1日 (三月)17:00,-0.30K, 
1995年3月1日 (二月)17:00,55.30K, 
1995年2月1日 (一月)17:00,7.20K, 
1995年1月1日 (十二月)17:00,40.30K, 
1994年12月1日 (十一月)17:00,16.70K, 
1994年11月1日 (十月)17:00,1.50K, 
1994年10月1日 (九月)17:00,46.40K, 
1994年9月1日 (八月)17:00,-16.60K, 
1994年8月1日 (七月)17:00,75.30K, 
1994年7月1日 (六月)17:00,20.20K, 
1994年6月1日 (五月)17:00,40.10K, 
1994年5月1日 (四月)17:00,9.00K, 
1994年4月1日 (三月)17:00,14.80K, 
1994年3月1日 (二月)17:00,26.40K, 
1994年2月1日 (一月)17:00,13.40K, 
1994年1月1日 (十二月)17:00,8.90K, 
1993年12月1日 (十一月)17:00,21.70K, 
1993年11月1日 (十月)17:00,51.20K, 
1993年10月1日 (九月)17:00,18.70K, 
1993年9月1日 (八月)17:00,20.90K, 
1993年8月1日 (七月)17:00,3.60K, 
1993年7月1日 (六月)17:00,14.00K, 
1993年6月1日 (五月)17:00,-2.80K, 
1993年5月1日 (四月)17:00,-15.10K, 
1993年4月1日 (三月)17:00,48.00K, 
1993年3月1日 (二月)17:00,-69.60K, 
1993年2月1日 (一月)17:00,46.80K, 
1993年1月1日 (十二月)17:00,21.50K, 
1992年12月1日 (十一月)17:00,-62.10K, 
1992年11月1日 (十月)17:00,12.10K, 
1992年10月1日 (九月)17:00,-37.10K, 
1992年9月1日 (八月)17:00,17.20K, 
1992年8月1日 (七月)17:00,18.50K, 
1992年7月1日 (六月)17:00,18.50K, 
1992年6月1日 (五月)17:00,-13.70K, 
1992年5月1日 (四月)17:00,-2.60K, 
1992年4月1日 (三月)17:00,-17.10K, 
1992年3月1日 (二月)17:00,12.40K, 
1992年2月1日 (一月)17:00,17.40K, 
1992年1月1日 (十二月)17:00,10.30K, 
1991年12月1日 (十一月)17:00,-10.20K, 
1991年11月1日 (十月)17:00,-23.90K, 
1991年10月1日 (九月)17:00,6.50K, 
