时间,今值,预测值
2014年10月22日04:30,1.200M, 
2014年10月16日04:30,10.200M, 
2014年10月8日04:30,5.100M,1.400M
2014年10月1日04:30,-0.463M,0.900M
2014年9月24日04:30,-6.500M,0.750M
2014年9月17日04:30,3.300M,-1.500M
2014年9月10日04:30,-1.900M,-1.500M
2014年9月4日04:30,-0.545M,-1.000M
2014年8月27日04:35,-1.300M,-2.500M
2014年8月20日04:30,-1.400M,-1.750M
2014年8月13日04:30,0.229M,-2.000M
2014年8月6日04:30,-5.500M,-1.900M
2014年7月30日04:30,-4.400M,-2.100M
2014年7月23日04:30,-0.555M,-2.600M
2014年7月16日04:30,-4.800M,-3.000M
2014年7月9日04:30,-1.700M,-3.000M
2014年7月2日04:30,-0.876M,-2.000M
2014年6月25日04:30,4.000M,-1.600M
2014年6月18日04:30,-5.700M, 
2014年6月11日04:30,1.500M,-1.200M
2014年6月4日04:30,-1.400M,-2.000M
2014年5月29日04:30,3.490M,1.000M
2014年5月21日04:30,-10.300M,-0.300M
2014年5月14日04:30,0.912M,-1.500M
2014年5月7日04:30,-1.800M,1.300M
2014年4月30日04:30,3.000M,2.100M
2014年4月23日04:30,0.519M,3.100M
2014年4月16日04:30,7.640M,2.400M
2014年4月9日04:30,7.080M,2.500M
2014年4月2日04:30,-5.800M,1.800M
2014年3月26日04:30,6.280M,2.600M
2014年3月19日04:30,5.920M,2.600M
2014年3月12日04:30,2.600M,2.300M
2014年3月5日05:30,1.170M,1.500M
2014年2月26日05:30,0.822M,1.500M
2014年2月20日05:30,-0.47M,1.90M
2014年2月12日05:30,2.10M,2.50M
2014年2月5日05:30,0.38M,1.50M
2014年1月29日05:30,4.75M,2.10M
2014年1月23日05:30,4.86M,-1.90M
2014年1月15日05:30,-4.14M,-1.60M
2014年1月8日05:30,-7.31M,-3.30M
2014年1月1日05:30,-5.67M,-3.00M
2013年12月25日05:30,0.50M, 
2013年12月18日05:30,-2.50M,-4.00M
2013年12月11日05:30,-7.50M,-2.80M
2013年12月4日05:30,-12.40M,-1.25M
2013年11月27日05:30,6.90M,-1.50M
2013年11月20日05:30,0.51M,-0.50M
2013年11月14日05:30,0.60M,1.80M
2013年11月6日05:30,0.87M,2.50M
2013年10月30日04:30,5.90M,3.50M
2013年10月23日04:30,3.00M,3.00M
2013年10月17日04:30,5.90M,2.25M
2013年10月9日04:30,2.76M,2.20M
2013年10月2日04:30,4.50M,2.40M
2013年9月18日04:30,-0.30M,-1.50M
2013年7月10日04:30,-8.97M,-3.80M
2013年7月3日04:30,-9.36M,-2.68M
2013年6月26日04:30,-0.03M,-2.00M
2013年6月19日04:30,-4.29M,-0.62M
2013年6月12日04:30,8.97M,1.30M
2013年6月5日04:30,-7.79M,-0.17M
2013年5月30日04:30,4.40M,-1.13M
2013年5月22日04:30,0.53M,-0.36M
2013年5月15日04:30,1.11M,0.20M
2013年5月8日04:30,0.68M,1.83M
2013年5月1日04:30,5.18M,0.85M
2013年4月24日04:30,-0.85M,1.57M
2013年4月17日04:30,-6.66M,1.35M
2013年4月10日04:30,5.06M,1.47M
2013年4月3日04:30,4.71M,2.25M
2013年3月27日04:30,3.74M,0.71M
2013年3月20日04:30,-0.41M,1.95M
2013年3月13日04:30,-1.38M,2.34M
