时间,今值,预测值
2014年11月26日23:30,1.946M,0.467M
2014年11月19日23:30,2.608M,-0.780M
2014年11月14日00:00,-1.735M,0.750M
2014年11月5日23:30,0.460M,1.900M
2014年10月29日22:30,2.061M,3.371M
2014年10月22日22:30,7.111M,2.686M
2014年10月16日23:00,8.923M,2.783M
2014年10月8日22:30,5.015M,1.533M
2014年10月1日22:30,-1.363M,0.700M
2014年9月24日22:30,-4.273M,0.386M
2014年9月17日22:30,3.673M,-1.614M
2014年9月10日22:30,-0.972M,-1.114M
2014年9月4日23:00,-0.905M,-1.113M
2014年8月27日22:30,-2.070M,-1.286M
2014年8月20日22:30,-4.474M,-1.163M
2014年8月13日22:30,1.401M,-2.029M
2014年8月6日22:30,-1.756M,-1.711M
2014年7月30日22:30,-3.697M,-1.471M
2014年7月23日22:30,-3.969M,-2.786M
2014年7月16日22:30,-7.525M,-2.086M
2014年7月9日22:30,-2.370M,-2.150M
2014年7月2日22:30,-3.155M,-2.229M
2014年6月25日22:30,1.742M,-1.557M
2014年6月18日22:30,-0.579M,-0.650M
2014年6月11日22:30,-2.596M,-1.871M
2014年6月4日22:30,-3.431M,-0.271M
2014年5月29日23:00,1.657M,0.483M
2014年5月21日22:30,-7.226M,0.750M
2014年5月14日22:30,0.947M,-0.100M
2014年5月7日22:30,-1.781M,1.417M
2014年4月30日22:30,1.698M,2.367M
2014年4月23日22:30,3.524M,2.275M
2014年4月16日22:30,10.013M,2.250M
2014年4月9日22:30,4.030M,1.329M
2014年4月2日22:30,-2.379M,1.086M
2014年3月26日22:30,6.619M,2.743M
2014年3月19日22:30,5.850M,2.608M
2014年3月12日22:30,6.180M,2.150M
2014年3月5日23:30,1.429M,1.333M
2014年2月26日23:30,0.068M,1.236M
2014年2月21日00:00,0.973M,2.013M
2014年2月12日23:30,3.267M,2.650M
2014年2月5日23:30,0.440M,2.300M
2014年1月29日23:30,6.421M,2.338M
2014年1月24日00:00,0.990M,0.588M
2014年1月15日23:30,-7.658M,-0.613M
2014年1月8日23:30,-2.675M,-0.894M
2014年1月4日00:00,-7.007M,-2.975M
2013年12月28日00:00,-4.731M,-2.320M
2013年12月18日23:30,-2.941M,-2.300M
2013年12月11日23:30,-10.585M,-2.950M
2013年12月4日23:30,-5.585M,-0.500M
2013年11月27日23:30,2.953M,0.606M
2013年11月20日23:30,0.375M,0.900M
2013年11月15日00:00,2.640M,0.994M
2013年11月6日23:30,1.577M,1.631M
2013年10月30日22:30,4.087M,2.233M
2013年10月23日22:30,5.246M,2.938M
2013年10月21日22:30,3.999M,2.164M
2013年10月9日22:30,6.807M,1.486M
2013年10月2日22:30,5.472M,2.265M
2013年9月25日22:30,2.635M,-1.129M
2013年9月18日22:30,-4.368M,-1.394M
2013年9月11日22:30,-0.219M,-1.500M
2013年9月5日23:00,-1.836M,-1.263M
2013年8月28日22:30,2.986M,0.200M
2013年8月21日22:30,-1.428M,-0.957M
2013年8月14日22:30,-2.812M,-1.511M
2013年8月7日22:30,-1.320M,-1.238M
2013年7月31日22:30,0.431M,-2.306M
2013年7月24日22:30,-2.825M,-2.456M
2013年7月17日22:30,-6.902M,-2.007M
2013年7月10日22:30,-9.874M,-3.300M
2013年7月3日22:30,-10.347M,-2.317M
2013年6月26日22:30,0.018M,-1.690M
2013年6月19日22:30,0.313M,-0.544M
2013年6月12日22:30,2.523M,-0.722M
2013年6月5日22:30,-6.267M,-0.356M
2013年5月30日23:00,3.000M,-0.350M
2013年5月22日22:30,-0.338M,-0.778M
2013年5月15日22:30,-0.624M,0.330M
2013年5月8日22:30,0.230M,1.905M
2013年5月1日22:30,6.696M,1.013M
2013年4月24日22:30,0.947M,1.513M
2013年4月17日22:30,-1.233M,1.350M
2013年4月10日22:30,0.250M,1.400M
2013年4月3日22:30,2.707M,2.200M
2013年3月27日22:30,3.256M,0.705M
2013年3月20日22:30,-1.314M,2.017M
2013年3月13日22:30,2.624M,2.338M
2013年3月6日23:30,3.833M,0.526M
2013年2月27日23:30,1.130M,2.413M
2013年2月22日00:00,4.143M,1.800M
2013年2月13日23:30,0.560M,2.350M
2013年2月6日23:30,2.623M,2.771M
2013年1月30日23:30,5.947M,2.583M
2013年1月25日00:00,2.813M,1.750M
2013年1月16日23:30,-0.951M,2.271M
2013年1月9日23:30,1.314M,1.469M
2013年1月5日00:00,-11.120M,-0.919M
2012年12月29日00:00,-0.586M,-1.857M
2012年12月19日23:30,-0.964M,-1.122M
2012年12月12日23:30,0.843M,-2.343M
2012年12月5日23:30,-2.357M,-0.322M
2012年11月28日23:30,-0.347M,0.317M
2012年11月21日23:30,-1.466M,0.940M
2012年11月16日00:00,1.089M,1.943M
2012年11月7日23:30,1.766M,1.810M
2012年11月1日23:00,-2.045M,1.506M
2012年10月24日22:30,5.896M,1.886M
2012年10月17日22:30,2.860M,1.675M
2012年10月11日23:00,1.672M,0.780M
2012年10月3日22:30,-0.482M,1.535M
2012年9月26日22:30,-2.446M,0.920M
2012年9月19日22:30,8.534M,1.000M
2012年9月12日22:30,1.994M,-2.588M
2012年9月6日23:00,-7.426M,-5.325M
2012年8月29日22:30,3.778M,-1.480M
2012年8月22日22:30,-5.412M,-0.413M
2012年8月15日22:30,-3.699M,-1.730M
2012年8月8日22:30,-3.729M,-0.267M
2012年8月1日22:30,-6.522M,-0.709M
2012年7月25日22:30,2.717M,-0.650M
2012年7月18日22:30,-0.809M,-1.150M
2012年7月11日22:30,-4.696M,-1.156M
2012年7月5日23:00,-4.270M,-1.929M
2012年6月27日22:30,-0.133M,-0.450M
2012年6月20日22:30,2.861M,-1.110M
2012年6月13日22:30,-0.191M,-1.411M
2012年6月6日22:30,-0.111M,-0.488M
2012年5月31日23:00,2.213M,0.558M
2012年5月23日22:30,0.883M,0.950M
2012年5月16日22:30,2.128M,1.736M
2012年5月9日22:30,3.652M,1.971M
2012年5月2日22:30,2.840M,2.489M
2012年4月25日22:30,3.978M,2.650M
2012年4月18日22:30,3.856M,1.363M
2012年4月11日22:30,2.791M,2.125M
2012年4月4日22:30,9.009M,2.214M
2012年3月28日22:30,7.100M,2.500M
2012年3月21日22:30,-1.200M,2.200M
2012年3月14日22:30,1.800M,2.000M
2012年3月7日23:30,0.800M,1.500M
2012年2月29日23:30,4.200M,1.200M
2012年2月24日00:00,1.600M,1.000M
2012年2月15日23:30,-0.200M,1.700M
2012年2月8日23:30,0.300M,2.500M
2012年2月1日23:30,4.200M,3.000M
2012年1月25日23:30,3.600M,0.900M
2012年1月20日00:00,-3.400M,2.900M
2012年1月11日23:30,5.000M,1.000M
2012年1月6日00:00,2.200M,-1.200M
2011年12月30日00:00,3.900M,-2.500M
2011年12月21日23:30,-10.600M,-2.400M
2011年12月14日23:30,-1.900M,-2.000M
2011年12月7日23:30,1.300M,-1.100M
2011年11月30日23:30,3.900M,1.000M
2011年11月23日23:30,-6.200M,-0.500M
2011年11月16日23:30,-1.100M,-1.200M
2011年11月9日23:30,-1.400M,0.500M
2011年11月2日22:30,1.800M,1.200M
2011年10月26日22:30,4.700M,0.800M
2011年10月19日22:30,-4.700M,1.800M
2011年10月13日23:00,1.300M,0.800M
2011年10月5日22:30,-4.700M,1.500M
2011年9月28日22:30,1.900M,1.000M
2011年9月21日22:30,-7.300M,-1.500M
2011年9月14日22:30,-6.700M,-3.000M
2011年9月8日23:00,-4.000M,-2.200M
2011年8月31日22:30,5.300M,0.900M
2011年8月24日22:30,-2.200M,0.800M
2011年8月17日22:30,4.200M,-0.500M
2011年8月10日22:30,-5.200M,1.500M
2011年8月3日22:30,1.000M,1.500M
2011年7月27日22:30,2.300M,-1.500M
2011年7月20日22:30,-3.700M,-1.500M
2011年7月13日22:30,-3.100M,-2.000M
2011年7月7日23:00,-0.900M,-2.500M
2011年6月29日22:30,-4.400M,-1.500M
2011年6月22日22:30,-1.700M,-1.600M
2011年6月15日22:30,-3.400M,-1.500M
2011年6月8日22:30,-4.800M,-1.500M
2011年6月2日23:00,2.900M,-1.800M
2011年5月25日22:30,0.600M,-1.600M
2011年5月18日22:30,0.000M,1.500M
2011年5月11日22:30,3.800M,1.100M
2011年5月4日22:30,3.400M,1.900M
2011年4月27日22:30,6.200M,1.500M
2011年4月20日22:30,-2.300M,0.700M
2011年4月13日22:30,1.600M,1.000M
2011年4月6日22:30,2.000M,1.300M
2011年3月30日22:30,2.900M,2.000M
2011年3月23日22:30,2.100M,2.000M
2011年3月16日22:30,1.700M,1.800M
2011年3月9日23:30,2.500M,1.100M
2011年3月2日23:30,-0.400M,1.100M
2011年2月25日00:00,0.800M,1.100M
2011年2月16日23:30,0.900M,1.800M
2011年2月9日23:30,1.900M,2.250M
2011年2月2日23:30,2.600M,2.500M
2011年1月26日23:30,4.800M,1.250M
2011年1月21日00:00,2.600M,-1.100M
2011年1月12日23:30,-2.200M,0.400M
2011年1月5日23:30,-4.200M,-1.400M
2010年12月31日00:00,-1.300M,-2.800M
2010年12月22日23:30,-5.300M,-1.100M
2010年12月15日23:30,-9.900M,-2.700M
2010年12月8日23:30,-3.800M,-1.300M
2010年12月1日23:30,1.100M,-0.800M
2010年11月24日23:30,1.000M,-1.900M
2010年11月17日23:30,-7.300M,-0.500M
2010年11月10日23:30,-3.300M,1.100M
2010年11月3日22:30,2.000M, 
2010年10月27日22:30,5.000M, 
2010年10月20日22:30,0.700M, 
2010年10月14日23:00,-0.400M, 
2010年10月6日22:30,3.100M, 
2010年9月29日22:30,-0.500M, 
2010年9月22日22:30,1.000M, 
2010年9月15日22:30,-2.500M, 
2010年9月9日23:00,-1.900M, 
2010年9月1日22:30,3.400M, 
2010年8月25日22:30,4.100M, 
2010年8月18日22:30,-0.800M, 
2010年8月11日22:30,-3.000M, 
2010年8月4日22:30,-2.800M, 
2010年7月28日22:30,7.300M, 
2010年7月21日22:30,0.400M, 
2010年7月14日22:30,-5.100M, 
2010年7月8日23:00,-5.000M, 
2010年6月30日22:30,-2.000M, 
2010年6月23日22:30,2.000M, 
2010年6月16日22:30,1.700M, 
2010年6月9日22:30,-1.800M, 
2010年6月3日23:00,-1.900M, 
2010年5月26日22:30,2.400M, 
2010年5月19日22:30,0.200M, 
2010年5月12日22:30,1.900M, 
2010年5月5日22:30,2.800M, 
2010年4月28日22:30,1.900M, 
2010年4月21日22:30,1.900M, 
2010年4月14日22:30,-2.200M,1.400M
2010年4月7日22:30,2.000M, 
