时间,今值,预测值
2017年9月29日 (八月)20:30, , 
2017年8月31日 (七月)20:30,1.4%,1.4%
2017年8月1日 (六月)20:30,1.5%,1.3%
2017年6月30日 (五月)20:30,1.4%,1.4%
2017年5月30日 (四月)20:30,1.5%,1.5%
2017年5月1日 (三月)20:30,1.6%, 
2017年3月31日 (二月)20:30,1.8%,1.7%
2017年3月1日 (一月)21:30,1.7%,1.8%
2017年1月30日 (十二月)21:30,1.7%,1.7%
2016年12月22日 (十一月)23:00,1.6%, 
2016年11月30日 (十月)21:30,1.7%, 
2016年10月31日 (九月)20:30,1.7%,1.7%
2016年9月30日 (八月)20:30,1.7%,1.7%
2016年8月29日 (七月)20:30,1.6%,1.5%
2016年8月2日 (六月)20:30,1.6%,1.6%
2016年6月29日 (五月)20:30,1.6%,1.6%
2016年5月31日 (四月)20:30,1.6%,1.6%
2016年4月29日 (三月)20:30,1.6%, 
2016年3月28日 (二月)20:30,1.7%,1.8%
2016年2月26日 (一月)23:00,1.7%,1.5%
2016年2月1日 (十二月)21:30,1.4%,1.4%
2015年12月23日 (十一月)21:30,1.3%,1.4%
2015年11月25日 (十月)21:30,1.3%,1.3%
2015年10月30日 (九月)20:30,1.3%, 
2015年9月28日 (八月)20:30,1.3%,1.2%
2015年8月28日 (七月)20:30,1.2%,1.3%
2015年8月3日 (六月)20:30,1.3%,1.2%
2015年6月25日 (五月)20:30,1.2%,1.2%
2015年6月1日 (四月)20:30,1.2%,1.3%
2015年4月30日 (三月)20:30,1.3%,1.4%
2015年3月30日 (二月)20:30,1.4%,1.3%
2015年3月2日 (一月)21:30,1.3%,1.2%
2015年2月2日 (十二月)21:30,1.3%,1.3%
2014年12月23日 (十一月)23:00,1.4%, 
2014年11月26日 (十月)21:30,1.6%,1.5%
2014年10月31日 (九月)20:30,1.5%, 
2014年9月29日 (八月)20:30,1.5%, 
2014年8月29日20:30,1.5%, 
2014年7月1日 (六月)17:00,1.50%, 
2014年6月1日 (五月)17:00,1.50%, 
2014年5月1日 (四月)17:00,1.40%, 
2014年4月1日 (三月)17:00,1.30%, 
2014年3月1日 (二月)17:00,1.20%, 
2014年2月1日 (一月)17:00,1.20%, 
2014年1月1日 (十二月)17:00,1.30%, 
2013年12月1日 (十一月)17:00,1.30%, 
2013年11月1日 (十月)17:00,1.30%, 
2013年10月1日 (九月)17:00,1.30%, 
2013年9月1日 (八月)17:00,1.30%, 
2013年8月1日 (七月)17:00,1.30%, 
2013年7月1日 (六月)17:00,1.30%, 
2013年6月1日 (五月)17:00,1.30%, 
2013年5月1日 (四月)17:00,1.30%, 
2013年4月1日 (三月)17:00,1.40%, 
2013年3月1日 (二月)17:00,1.50%, 
2013年2月1日 (一月)17:00,1.50%, 
2013年1月1日 (十二月)17:00,1.60%, 
2012年12月1日 (十一月)17:00,1.60%, 
2012年11月1日 (十月)17:00,1.70%, 
2012年10月1日 (九月)17:00,1.70%, 
2012年9月1日 (八月)17:00,1.60%, 
2012年8月1日 (七月)17:00,1.80%, 
2012年7月1日 (六月)17:00,1.90%, 
2012年6月1日 (五月)17:00,1.90%, 
2012年5月1日 (四月)17:00,2.00%, 
2012年4月1日 (三月)17:00,2.10%, 
2012年3月1日 (二月)17:00,2.00%, 
2012年2月1日 (一月)17:00,2.10%, 
2012年1月1日 (十二月)17:00,2.00%, 
2011年12月1日 (十一月)17:00,1.80%, 
2011年11月1日 (十月)17:00,1.80%, 
2011年10月1日 (九月)17:00,1.70%, 
2011年9月1日 (八月)17:00,1.70%, 
2011年8月1日 (七月)17:00,1.60%, 
2011年7月1日 (六月)17:00,1.50%, 
2011年6月1日 (五月)17:00,1.40%, 
2011年5月1日 (四月)17:00,1.30%, 
2011年4月1日 (三月)17:00,1.10%, 
2011年3月1日 (二月)17:00,1.10%, 
2011年2月1日 (一月)17:00,1.00%, 
2011年1月1日 (十二月)17:00,0.90%, 
2010年12月1日 (十一月)17:00,1.00%, 
2010年11月1日 (十月)17:00,1.00%, 
2010年10月1日 (九月)17:00,1.20%, 
2010年9月1日 (八月)17:00,1.30%, 
2010年8月1日 (七月)17:00,1.40%, 
2010年7月1日 (六月)17:00,1.30%, 
2010年6月1日 (五月)17:00,1.30%, 
2010年5月1日 (四月)17:00,1.30%, 
2010年4月1日 (三月)17:00,1.60%, 
2010年3月1日 (二月)17:00,1.50%, 
2010年2月1日 (一月)17:00,1.60%, 
2010年1月1日 (十二月)17:00,1.50%, 
2009年12月1日 (十一月)17:00,1.40%, 
2009年11月1日 (十月)17:00,1.30%, 
2009年10月1日 (九月)17:00,1.00%, 
2009年9月1日 (八月)17:00,1.00%, 
2009年8月1日 (七月)17:00,1.00%, 
2009年7月1日 (六月)17:00,1.10%, 
2009年6月1日 (五月)17:00,1.20%, 
2009年5月1日 (四月)17:00,1.20%, 
2009年4月1日 (三月)17:00,1.10%, 
2009年3月1日 (二月)17:00,1.20%, 
2009年2月1日 (一月)17:00,1.20%, 
2009年1月1日 (十二月)17:00,1.40%, 
2008年12月1日 (十一月)17:00,1.70%, 
2008年11月1日 (十月)17:00,1.80%, 
2008年10月1日 (九月)17:00,2.10%, 
2008年9月1日 (八月)17:00,2.30%, 
2008年8月1日 (七月)17:00,2.30%, 
2008年7月1日 (六月)17:00,2.30%, 
2008年6月1日 (五月)17:00,2.30%, 
2008年5月1日 (四月)17:00,2.20%, 
2008年4月1日 (三月)17:00,2.20%, 
2008年3月1日 (二月)17:00,2.00%, 
2008年2月1日 (一月)17:00,2.10%, 
2008年1月1日 (十二月)17:00,2.30%, 
2007年12月1日 (十一月)17:00,2.30%, 
2007年11月1日 (十月)17:00,2.10%, 
2007年10月1日 (九月)17:00,2.00%, 
2007年9月1日 (八月)17:00,1.90%, 
2007年8月1日 (七月)17:00,2.00%, 
2007年7月1日 (六月)17:00,1.90%, 
2007年6月1日 (五月)17:00,2.00%, 
2007年5月1日 (四月)17:00,2.10%, 
2007年4月1日 (三月)17:00,2.30%, 
2007年3月1日 (二月)17:00,2.40%, 
2007年2月1日 (一月)17:00,2.40%, 
2007年1月1日 (十二月)17:00,2.10%, 
2006年12月1日 (十一月)17:00,2.10%, 
2006年11月1日 (十月)17:00,2.30%, 
2006年10月1日 (九月)17:00,2.40%, 
2006年9月1日 (八月)17:00,2.50%, 
2006年8月1日 (七月)17:00,2.30%, 
2006年7月1日 (六月)17:00,2.40%, 
2006年6月1日 (五月)17:00,2.20%, 
2006年5月1日 (四月)17:00,2.20%, 
2006年4月1日 (三月)17:00,2.10%, 
2006年3月1日 (二月)17:00,2.10%, 
2006年2月1日 (一月)17:00,2.20%, 
2006年1月1日 (十二月)17:00,2.30%, 
2005年12月1日 (十一月)17:00,2.30%, 
2005年11月1日 (十月)17:00,2.20%, 
2005年10月1日 (九月)17:00,2.10%, 
2005年9月1日 (八月)17:00,2.10%, 
2005年8月1日 (七月)17:00,2.00%, 
2005年7月1日 (六月)17:00,2.10%, 
2005年6月1日 (五月)17:00,2.20%, 
2005年5月1日 (四月)17:00,2.10%, 
2005年4月1日 (三月)17:00,2.20%, 
2005年3月1日 (二月)17:00,2.20%, 
2005年2月1日 (一月)17:00,2.20%, 
2005年1月1日 (十二月)17:00,2.10%, 
2004年12月1日 (十一月)17:00,2.10%, 
2004年11月1日 (十月)17:00,2.10%, 
2004年10月1日 (九月)17:00,2.00%, 
2004年9月1日 (八月)17:00,1.90%, 
2004年8月1日 (七月)17:00,2.00%, 
2004年7月1日 (六月)17:00,2.00%, 
2004年6月1日 (五月)17:00,1.90%, 
2004年5月1日 (四月)17:00,1.90%, 
2004年4月1日 (三月)17:00,1.70%, 
2004年3月1日 (二月)17:00,1.70%, 
2004年2月1日 (一月)17:00,1.60%, 
2004年1月1日 (十二月)17:00,1.40%, 
2003年12月1日 (十一月)17:00,1.40%, 
2003年11月1日 (十月)17:00,1.30%, 
2003年10月1日 (九月)17:00,1.30%, 
2003年9月1日 (八月)17:00,1.30%, 
2003年8月1日 (七月)17:00,1.40%, 
2003年7月1日 (六月)17:00,1.40%, 
2003年6月1日 (五月)17:00,1.50%, 
2003年5月1日 (四月)17:00,1.50%, 
2003年4月1日 (三月)17:00,1.70%, 
2003年3月1日 (二月)17:00,1.70%, 
2003年2月1日 (一月)17:00,1.70%, 
2003年1月1日 (十二月)17:00,1.70%, 
2002年12月1日 (十一月)17:00,1.70%, 
2002年11月1日 (十月)17:00,1.80%, 
2002年10月1日 (九月)17:00,2.40%, 
2002年9月1日 (八月)17:00,1.70%, 
2002年8月1日 (七月)17:00,1.60%, 
2002年7月1日 (六月)17:00,1.70%, 
2002年6月1日 (五月)17:00,1.70%, 
2002年5月1日 (四月)17:00,1.60%, 
2002年4月1日 (三月)17:00,1.50%, 
2002年3月1日 (二月)17:00,1.50%, 
2002年2月1日 (一月)17:00,1.40%, 
2002年1月1日 (十二月)17:00,1.70%, 
2001年12月1日 (十一月)17:00,1.80%, 
2001年11月1日 (十月)17:00,1.80%, 
2001年10月1日 (九月)17:00,1.20%, 
2001年9月1日 (八月)17:00,2.00%, 
2001年8月1日 (七月)17:00,2.00%, 
2001年7月1日 (六月)17:00,2.00%, 
2001年6月1日 (五月)17:00,1.80%, 
2001年5月1日 (四月)17:00,1.90%, 
2001年4月1日 (三月)17:00,1.80%, 
2001年3月1日 (二月)17:00,1.90%, 
2001年2月1日 (一月)17:00,1.90%, 
2001年1月1日 (十二月)17:00,1.80%, 
2000年12月1日 (十一月)17:00,1.90%, 
2000年11月1日 (十月)17:00,1.80%, 
2000年10月1日 (九月)17:00,1.80%, 
2000年9月1日 (八月)17:00,1.80%, 
2000年8月1日 (七月)17:00,1.80%, 
2000年7月1日 (六月)17:00,1.70%, 
2000年6月1日 (五月)17:00,1.70%, 
2000年5月1日 (四月)17:00,1.70%, 
2000年4月1日 (三月)17:00,1.80%, 
2000年3月1日 (二月)17:00,1.70%, 
