时间,今值,预测值
2012年4月19日22:00  ,-19.8,-19.0
2012年3月22日23:00  ,-19.0,-20.0
2012年2月21日23:00  ,-20.0,-20.0
2012年1月23日23:00  ,-21.0,-20.0
2011年12月21日23:00  ,-21.0,-21.0
2011年11月22日23:00  ,-20.0,-21.0
2011年10月20日22:00  ,-20.0,-20.0
2011年9月22日22:00  ,-19.0,-18.0
2011年8月23日22:00  ,-17.0,-12.0
2011年7月20日22:00  ,-11.0,-10.0
2011年6月22日22:00  ,-10.0,-10.0
2011年5月20日22:00  ,-10.0,-12.0
2011年4月19日15:30,-11.0,-10.0
2011年3月23日23:00,-11.0,-11.0
2011年2月17日23:00,-10.0,-11.0
2011年1月20日23:00,-11.0,-12.0
2010年12月20日23:00,-11.0,-9.0
2010年11月22日23:00,-10.0,-10.0
2010年10月21日22:00,-11.0, 
2010年9月22日22:00,-11.0,-10.0
2010年8月23日22:00,-12.0,-13.0
2010年7月22日22:00,-14.0,-17.0
2010年6月22日22:00,-17.0,-19.0
2010年5月20日22:00,-18.0,-16.0
2010年4月22日22:00,-15.0,-17.0
2010年3月29日17:00,-17.0,-17.0
2010年2月25日18:00,-17.0,-17.0
2010年1月28日18:00,-16.0,-15.0
2010年1月7日18:00,-16.0,-16.0
2009年11月27日18:00,-17.0,-18.0
2009年10月29日18:00,-18.0,-17.0
2009年9月29日17:00,-19.0,-21.0
2009年8月28日17:00,-22.0,-21.0
2009年7月30日17:00,-23.0,-25.0
2009年6月29日17:00,-25.0,-30.0
2009年5月28日17:00,-31.0,-31.0
2009年4月29日17:00,-31.0,-33.0
2009年3月30日17:00,-34.0,-33.0
2009年2月26日18:00,-33.0,-31.0
2009年1月29日18:00,-31.0,-31.0
2009年1月8日18:00,-30.0,-26.0
2008年11月27日18:00,-25.0,-25.0
2008年10月30日18:00,-24.0,-21.0
2008年9月29日17:00,-19.0,-19.0
2008年8月29日17:00,-19.0,-20.0
2008年7月30日17:00,-20.0,-19.0
2008年6月27日17:00,-17.0,-16.0
