时间,今值,预测值
2012年10月17日04:30,-1.18M,0.40M
2012年10月11日04:30,2.47M,0.19M
2012年10月3日04:30,-0.06M,-0.08M
2012年9月26日04:30,0.11M,0.50M
2012年9月19日04:30,0.14M,1.63M
2012年9月12日04:30,-4.16M,-1.88M
2012年9月6日04:30,-2.28M,-3.55M
2012年8月29日04:30,-2.40M,-1.13M
2012年8月22日04:30,0.87M,-0.05M
2012年8月15日04:30,-2.01M,-1.49M
2012年8月8日04:30,0.42M,-1.88M
2012年8月1日04:30,-1.34M,0.50M
2012年7月25日04:30,2.35M,-0.18M
2012年7月18日04:30,-0.12M,1.13M
2012年7月11日04:30,2.47M,0.50M
2012年7月4日04:30,-1.40M,1.08M
2012年6月27日04:30,0.37M,0.93M
2012年6月20日04:30,1.07M,0.95M
2012年6月13日04:30,-0.88M,1.47M
2012年6月6日04:30,1.40M,1.35M
2012年5月31日04:30,2.06M,-0.14M
2012年5月23日04:30,-4.52M,-0.04M
2012年5月16日04:30,-2.64M,0.20M
2012年5月9日04:30,-4.96M,0.10M
2012年5月2日04:30,-3.90M,-0.25M
2012年4月25日04:30,-3.64M,-0.68M
2012年4月18日04:30,-2.60M,-0.92M
2012年4月11日04:30,1.18M,-0.95M
2012年4月4日04:30,-4.46M,-1.40M
2012年3月28日04:30,1.34M,-1.60M
