时间,今值,预测值
2005年12月1日 (十一月)17:00,-55.20, 
2005年11月1日 (十月)17:00,-58.00, 
2005年10月1日 (九月)17:00,-58.10, 
2005年9月1日 (八月)17:00,-61.10, 
2005年8月1日 (七月)17:00,-66.70, 
2005年7月1日 (六月)17:00,-70.00, 
2005年6月1日 (五月)17:00,-69.30, 
2005年5月1日 (四月)17:00,-73.00, 
2005年4月1日 (三月)17:00,-66.00, 
2005年3月1日 (二月)17:00,-58.70, 
2005年2月1日 (一月)17:00,-61.20, 
2005年1月1日 (十二月)17:00,-64.20, 
2004年12月1日 (十一月)17:00,-57.80, 
2004年11月1日 (十月)17:00,-58.90, 
2004年10月1日 (九月)17:00,-61.50, 
2004年9月1日 (八月)17:00,-65.20, 
2004年8月1日 (七月)17:00,-69.30, 
2004年7月1日 (六月)17:00,-69.80, 
2004年6月1日 (五月)17:00,-75.90, 
2004年5月1日 (四月)17:00,-72.50, 
2004年4月1日 (三月)17:00,-72.70, 
2004年3月1日 (二月)17:00,-70.20, 
2004年2月1日 (一月)17:00,-74.90, 
2004年1月1日 (十二月)17:00,-83.70, 
2003年12月1日 (十一月)17:00,-87.50, 
2003年11月1日 (十月)17:00,-87.40, 
2003年10月1日 (九月)17:00,-91.70, 
2003年9月1日 (八月)17:00,-92.60, 
2003年8月1日 (七月)17:00,-95.80, 
2003年7月1日 (六月)17:00,-95.80, 
2003年6月1日 (五月)17:00,-95.10, 
2003年5月1日 (四月)17:00,-95.80, 
2003年4月1日 (三月)17:00,-96.10, 
2003年3月1日 (二月)17:00,-94.70, 
2003年2月1日 (一月)17:00,-94.70, 
2003年1月1日 (十二月)17:00,-95.40, 
2002年12月1日 (十一月)17:00,-94.10, 
2002年11月1日 (十月)17:00,-90.50, 
2002年10月1日 (九月)17:00,-84.30, 
2002年9月1日 (八月)17:00,-78.80, 
2002年8月1日 (七月)17:00,-71.80, 
2002年7月1日 (六月)17:00,-75.90, 
2002年6月1日 (五月)17:00,-80.70, 
2002年5月1日 (四月)17:00,-76.70, 
2002年4月1日 (三月)17:00,-80.00, 
2002年3月1日 (二月)17:00,-87.00, 
2002年2月1日 (一月)17:00,-83.90, 
2002年1月1日 (十二月)17:00,-87.80, 
2001年12月1日 (十一月)17:00,-81.00, 
2001年11月1日 (十月)17:00,-64.10, 
2001年10月1日 (九月)17:00,-60.20, 
2001年9月1日 (八月)17:00,-54.00, 
2001年8月1日 (七月)17:00,-42.20, 
2001年7月1日 (六月)17:00,-19.10, 
2001年6月1日 (五月)17:00,-6.30, 
2001年5月1日 (四月)17:00,3.20, 
2001年4月1日 (三月)17:00,10.40, 
2001年3月1日 (二月)17:00,24.10, 
2001年2月1日 (一月)17:00,31.50, 
2001年1月1日 (十二月)17:00,32.30, 
2000年12月1日 (十一月)17:00,40.50, 
2000年11月1日 (十月)17:00,42.90, 
2000年10月1日 (九月)17:00,45.80, 
2000年9月1日 (八月)17:00,45.10, 
2000年8月1日 (七月)17:00,39.60, 
2000年7月1日 (六月)17:00,35.00, 
2000年6月1日 (五月)17:00,30.80, 
2000年5月1日 (四月)17:00,23.10, 
2000年4月1日 (三月)17:00,21.60, 
2000年3月1日 (二月)17:00,15.00, 
2000年2月1日 (一月)17:00,7.50, 
2000年1月1日 (十二月)17:00,-1.60, 
1999年12月1日 (十一月)17:00,0.10, 
1999年11月1日 (十月)17:00,-4.80, 
1999年10月1日 (九月)17:00,-8.80, 
1999年9月1日 (八月)17:00,-9.70, 
1999年8月1日 (七月)17:00,-16.90, 
1999年7月1日 (六月)17:00,-27.10, 
1999年6月1日 (五月)17:00,-28.30, 
1999年5月1日 (四月)17:00,-31.90, 
1999年4月1日 (三月)17:00,-27.30, 
1999年3月1日 (二月)17:00,-15.90, 
1999年2月1日 (一月)17:00,-6.90, 
1999年1月1日 (十二月)17:00,-4.30, 
1998年12月1日 (十一月)17:00,-2.20, 
1998年11月1日 (十月)17:00,0.70, 
1998年10月1日 (九月)17:00,3.40, 
1998年9月1日 (八月)17:00,2.40, 
1998年8月1日 (七月)17:00,6.90, 
1998年7月1日 (六月)17:00,-0.70, 
1998年6月1日 (五月)17:00,-7.70, 
1998年5月1日 (四月)17:00,-11.80, 
1998年4月1日 (三月)17:00,-18.90, 
1998年3月1日 (二月)17:00,-20.60, 
1998年2月1日 (一月)17:00,-21.80, 
1998年1月1日 (十二月)17:00,-22.00, 
1997年12月1日 (十一月)17:00,-20.80, 
1997年11月1日 (十月)17:00,-24.70, 
1997年10月1日 (九月)17:00,-32.50, 
1997年9月1日 (八月)17:00,-39.10, 
1997年8月1日 (七月)17:00,-42.10, 
1997年7月1日 (六月)17:00,-47.70, 
1997年6月1日 (五月)17:00,-52.40, 
1997年5月1日 (四月)17:00,-52.40, 
1997年4月1日 (三月)17:00,-56.90, 
1997年3月1日 (二月)17:00,-58.90, 
1997年2月1日 (一月)17:00,-47.70, 
1997年1月1日 (十二月)17:00,-46.60, 
1996年12月1日 (十一月)17:00,-55.40, 
1996年11月1日 (十月)17:00,-56.50, 
1996年10月1日 (九月)17:00,-66.30, 
1996年9月1日 (八月)17:00,-72.80, 
1996年8月1日 (七月)17:00,-77.60, 
1996年7月1日 (六月)17:00,-80.10, 
1996年6月1日 (五月)17:00,-81.50, 
1996年5月1日 (四月)17:00,-80.20, 
1996年4月1日 (三月)17:00,-77.60, 
1996年3月1日 (二月)17:00,-57.10, 
1996年2月1日 (一月)17:00,-40.30, 
1996年1月1日 (十二月)17:00,-20.40, 
1995年12月1日 (十一月)17:00,-8.20, 
1995年11月1日 (十月)17:00,0.30, 
1995年10月1日 (九月)17:00,4.80, 
1995年9月1日 (八月)17:00,7.40, 
1995年8月1日 (七月)17:00,8.30, 
1995年7月1日 (六月)17:00,8.70, 
1995年6月1日 (五月)17:00,13.20, 
1995年5月1日 (四月)17:00,17.60, 
1995年4月1日 (三月)17:00,18.40, 
1995年3月1日 (二月)17:00,18.60, 
1995年2月1日 (一月)17:00,16.00, 
1995年1月1日 (十二月)17:00,7.10, 
1994年12月1日 (十一月)17:00,-0.30, 
1994年11月1日 (十月)17:00,-4.10, 
1994年10月1日 (九月)17:00,-11.20, 
1994年9月1日 (八月)17:00,-34.00, 
1994年8月1日 (七月)17:00,-49.10, 
1994年7月1日 (六月)17:00,-67.90, 
1994年6月1日 (五月)17:00,-81.20, 
1994年5月1日 (四月)17:00,-91.10, 
1994年4月1日 (三月)17:00,-96.10, 
1994年3月1日 (二月)17:00,-96.40, 
1994年2月1日 (一月)17:00,-96.90, 
1994年1月1日 (十二月)17:00,-97.50, 
1993年12月1日 (十一月)17:00,-98.50, 
